group,treated_rows,return_bps,return_bps_p,retail_oib,retail_oib_p,resid_oib,resid_oib_p
Top 5 by return contribution,880,51.8556,0.0,-0.007,0.26,0.0006,0.896
"Top 5, at least 20 rows",904,48.1136,0.0,-0.0081,0.189,0.0003,0.942
